turn_idx,speaker,message,top_symptoms,scores
0,Doctor,Hello! What are the main issues you’re experiencing?,"[""disturbance of memory"", ""problems with movement"", ""kidney problems"", ""lack of growth"", ""difficulty breathing""]","[0.39877191185951233, 0.3962354362010956, 0.3605228662490845, 0.3517848551273346, 0.34250974655151367]"
1,Patient,"Hi doctor, I’ve been having a lot of joint pain and some stiffness, especially in the mornings.","[""joint pain"", ""joint stiffness or tightness"", ""knee pain"", ""hip stiffness or tightness"", ""knee cramps or spasms""]","[0.5320414304733276, 0.5287232995033264, 0.510438084602356, 0.504887580871582, 0.4858602285385132]"
2,Doctor,Do you feel the stiffness lasts more than an hour after waking up?,"[""leg stiffness or tightness"", ""muscle stiffness or tightness"", ""shoulder stiffness or tightness"", ""joint stiffness or tightness"", ""foot or toe stiffness or tightness""]","[0.44546958804130554, 0.41530025005340576, 0.4009963274002075, 0.3921702206134796, 0.3914671540260315]"
3,Patient,"Yes, usually about an hour or so.","[""increased heart rate"", ""restlessness"", ""back pain"", ""flushing"", ""decreased heart rate""]","[0.1544514298439026, 0.12196128070354462, 0.11803387105464935, 0.115691177546978, 0.11341378092765808]"
4,Doctor,Do you notice any swelling or redness in your joints?,"[""hip swelling"", ""joint swelling"", ""elbow swelling"", ""skin on arm or hand looks infected"", ""wrist swelling""]","[0.5399804711341858, 0.5198856592178345, 0.5114254951477051, 0.4964323043823242, 0.48123806715011597]"
5,Patient,"Yes, my fingers sometimes look swollen and red.","[""skin on arm or hand looks infected"", ""hand or finger lump or mass"", ""hand or finger swelling"", ""lymphedema"", ""swollen or red tonsils""]","[0.5534518361091614, 0.5411779284477234, 0.4971868395805359, 0.4578336477279663, 0.4527330696582794]"
6,Doctor,Have you experienced any fevers or unexplained weight loss lately?,"[""recent weight loss"", ""fever"", ""feeling hot"", ""weight gain"", ""flu-like syndrome""]","[0.5425938963890076, 0.41983067989349365, 0.398068904876709, 0.39797189831733704, 0.3645437955856323]"
7,Patient,"No fevers, but I have lost a little weight without trying.","[""fever"", ""recent weight loss"", ""feeling hot"", ""flu-like syndrome"", ""decreased appetite""]","[0.4802073836326599, 0.46975499391555786, 0.46693915128707886, 0.4190092086791992, 0.40624016523361206]"
8,Doctor,"Do you have difficulty with daily activities, like opening jars or gripping objects?","[""disturbance of memory"", ""problems with movement"", ""hesitancy"", ""hand or finger weakness"", ""restlessness""]","[0.37396717071533203, 0.33652955293655396, 0.32534217834472656, 0.32295432686805725, 0.30273914337158203]"
9,Patient,"Yes, gripping things has become harder.","[""hand or finger weakness"", ""focal weakness"", ""disturbance of memory"", ""wrist weakness"", ""hand or finger stiffness or tightness""]","[0.3303065299987793, 0.31740790605545044, 0.29691147804260254, 0.29637110233306885, 0.2943320572376251]"
10,Doctor,Thank you for sharing these details. We’ll monitor these symptoms closely. Have you noticed if the pain is worse during certain times of the day?,"[""knee cramps or spasms"", ""pelvic pain"", ""ankle pain"", ""knee pain"", ""swollen lymph nodes""]","[0.5019906163215637, 0.4740404486656189, 0.46925485134124756, 0.46602150797843933, 0.4655360281467438]"
11,Patient,"Yes, it feels worse in the morning and improves a bit as the day goes on.","[""excessive urination at night"", ""feeling ill"", ""sleepiness"", ""increased heart rate"", ""neck pain""]","[0.348641037940979, 0.3427230715751648, 0.32891836762428284, 0.3203951120376587, 0.31845933198928833]"
12,Doctor,Do you feel fatigued or unusually tired during the day?,"[""sleepiness"", ""fatigue"", ""weakness"", ""insomnia"", ""leg weakness""]","[0.6119698286056519, 0.5967171788215637, 0.4330390393733978, 0.41807034611701965, 0.4177505075931549]"
13,Patient,"Yes, I do feel quite tired most days.","[""fatigue"", ""sleepiness"", ""restlessness"", ""insomnia"", ""difficulty breathing""]","[0.5744282007217407, 0.5658211708068848, 0.4097938537597656, 0.36908283829689026, 0.3684706687927246]"
14,Doctor,Has anyone in your family had similar symptoms or arthritis?,"[""joint pain"", ""knee pain"", ""knee cramps or spasms"", ""problems with movement"", ""wrist pain""]","[0.4102843701839447, 0.38817691802978516, 0.36756086349487305, 0.36383163928985596, 0.35202720761299133]"
15,Patient,"Yes, my mother had arthritis.","[""joint pain"", ""knee pain"", ""joint stiffness or tightness"", ""wrist pain"", ""joint swelling""]","[0.3740885853767395, 0.3441755175590515, 0.33132266998291016, 0.3237679600715637, 0.31069737672805786]"
16,Doctor,Good to know. Please keep track of how these symptoms progress and contact me if anything changes or worsens.,"[""problems with movement"", ""leg weakness"", ""changes in stool appearance"", ""sleepiness"", ""leg stiffness or tightness""]","[0.3993407189846039, 0.3940255045890808, 0.38738638162612915, 0.3852171301841736, 0.36825722455978394]"
